,,Property Lookup,,,,,,,,
,TableName,LookupName (Current),Value (Current),,MatrixSelectName,MatrixWebapi_Value,RLS Description,LMP Add/Edit,LMP Search,Requirements/Rules
,Property,AccessibilityFeatures,ADACompliant,,AccessibilityFeatures,ADACompliant,The unit is ADA compliant.,Yes,Yes,
,Property,AccessibilityFeatures,AccessibleApproachWithRamp,,AccessibilityFeatures,AccessibleApproachWithRamp,"A minimum of one entrance to the structure with a clear, evenly paved walkway from a parking or pedestrian arrival area. The path of travel does not include a running slope in excess of 1:12 (8.33%), a cross slope exceeding 1:50 (2%), nor level changes of more than 1/2"". If slope is over 5%, handrails are required. Level landing; 32"" clear width opening doors and adequate lighting on pathway and landing. This is required to be considered ""visitable.""",Yes,Yes,
,Property,AccessibilityFeatures,AccessibleBedroom,,AccessibilityFeatures,AccessibleBedroom,"Bedroom has adequate turnaround of 60"" or other approved turnaround configuration. Closet doors have 32"" clearance. Accessible environmental controls and multiple lighting fixtures. This is required to be considered Enhanced Accessible. Optional: Some lower-height storage in closet. Remote control of lighting and environmental controls.",Yes,Yes,
,Property,AccessibilityFeatures,AccessibleCentralLivingArea,,AccessibilityFeatures,AccessibleCentralLivingArea,"Hard surface flooring or low-pile carpet, securely attached along edges. Entrances to all rooms on all floors provide 36"" clear passage. Multiple lighting fixtures installed to provide adaptable lighting for general purpose and tasks. This is required to be considered Enhanced Accessible.",Yes,Yes,
,Property,AccessibilityFeatures,AccessibleClosets,,AccessibilityFeatures,AccessibleClosets,Closet doors are 32” clearance throughout the central living area.,Yes,Yes,
,Property,AccessibilityFeatures,AccessibleCommonArea,,AccessibilityFeatures,AccessibleCommonArea,"Common area, used for entertaining guests, level, with 36"" passage through and around the space. Required to be considered Visitable.",Yes,Yes,
,Property,AccessibilityFeatures,AccessibleDoors,,AccessibilityFeatures,AccessibleDoors,"Minimum 32"" clear passage; levered handle; threshold, if present, maximum 1/2"" but beveled on both sides when over 1/4"". Required to be considered Visitable or Enhanced Accessible.",Yes,Yes,
,Property,AccessibilityFeatures,AccessibleElectricalAndEnvironmentalControls,,AccessibilityFeatures,AccessibleElectricalAndEnvironmentalControls,"Thermostats and security system controls located on floor with central living area. Control devices for light switches and thermostats at 42-48"" height off floor and side to side. Electrical plugs minimum of 18"" above floor. This is required to be considered Enhanced Accessible. Optional: rocker-style light switches, lighted switches, automatic/remote control for environmental controls.",Yes,Yes,
,Property,AccessibilityFeatures,AccessibleElevatorInstalled,,AccessibilityFeatures,AccessibleElevatorInstalled,"Elevator with minimum 32"" door and minimum 36"" x 48"" turning radius.",Yes,Yes,
,Property,AccessibilityFeatures,AccessibleEntrance,,AccessibilityFeatures,AccessibleEntrance,"Entrance door is a minimum of 32"" wide; threshold, when present, maximum 1/2"" but when over 1/4"" is beveled on both sides. The entry door has lever handle for egress. This is required to be considered Visitable. Optional: entryway is covered; bench near outside entry door; motion-detection outside lights; accessible peephole or other method for inside viewing of anyone outside the entry door; house number easily visible from street by emergency responders.",Yes,Yes,
,Property,AccessibilityFeatures,AccessibleForHearingImpairment,,AccessibilityFeatures,AccessibleForHearingImpairment,"Home is wired for flashing lights and/or vibrating smoke alarm, door bell or other alerting features.",Yes,Yes,
,Property,AccessibilityFeatures,AccessibleFullBath,,AccessibilityFeatures,AccessibleFullBath,"Bathroom has adequate turnaround: 60"" or other approved turnaround configuration. Accessible bathing area: roll-in shower or space for shower chair or transfer bench in bathtub. Slip-resistant surface on bathroom floor and bathtub/shower. Roll-under or side-access to sink with padded trap. Lighting directly over shower/bathing areas, in addition to general bathroom lighting. This is required to be considered Enhanced Accessible. Optional: removable cabinet doors and base under sink; grab bars with shear force of 250 pounds installed around toilet and shower/tub with proper backing; handheld and/or height-adjustable shower head; automatic water temperature controlled (anti-scald) tub/shower; offset tub/shower controls toward front edge of tub/shower for easy access; raised toilet (17-19"" minimum).",Yes,Yes,
,Property,AccessibilityFeatures,AccessibleHallways,,AccessibilityFeatures,AccessibleHallways,"Hallway is a minimum of 36"", preferred 42"", wide (or adequate alternative based on individual configuration). At least one lighting fixture is present.",Yes,Yes,
,Property,AccessibilityFeatures,AccessibleKitchen,,AccessibilityFeatures,AccessibleKitchen,"40"" clear turn-around, or 36"" clear with clear under-counter space for T-turn space in kitchen, unimpeded by fixtures. Roll-under/adaptable sink with padded trap or side-access to sink. Roll-out shelves in at least 50% of lower cabinets, Roll-under work area (36"" clearance). Lighting fixtures directed over all task areas with adaptable control. This is required to be considered Enhanced Accessible. Optional: adaptable under-sink cabinet with removable doors and cabinet base; accessible features for upper kitchen cabinets; space for side-by-side refrigerator (minimum 36""); contrasting color counter edges for vison accessibility.",Yes,Yes,
,Property,AccessibilityFeatures,AccessibleKitchenAppliances,,AccessibilityFeatures,AccessibleKitchenAppliances,"Stove controls in front or side, at counter top height; oven with side-access door at counter level; microwave is at counter level. This is required to be considered Enhanced Accessible. Optional: raised dishwasher; microwave has clear work area below or to the right side.",Yes,Yes,
,Property,AccessibilityFeatures,AccessibleStairway,,AccessibilityFeatures,AccessibleStairway,"Handrails on both sides of stairs, extended when possible, with shear force of 250 pounds. Interior and exterior stairs have adequate number of light fixtures for full coverage. Non-slip stair treads. If stairs are carpeted, covering is non-moveable, low-pile carpet. This is required to be considered Enhanced Accessible. Optional: stair treads are in high contrast colors for increased visibility.",Yes,Yes,
,Property,AccessibilityFeatures,AccessibleWasherDryer,,AccessibilityFeatures,AccessibleWasherDryer,"Raised clothes washer and/or dryer, front controls, side opening, both open to center.",Yes,Yes,
,Property,AccessibilityFeatures,AdaptableBathroomWalls,,AccessibilityFeatures,AdaptableBathroomWalls,"Reinforced main bathroom walls, including bath or shower, to permit installation of grab bars (with shear force of 250 pounds) and/or fixtures in the future. This is required to be considered Enhanced Accessible.",Yes,Yes,
,Property,AccessibilityFeatures,AdaptableForElevator,,AccessibilityFeatures,AdaptableForElevator,Stacked closets in a multistory house for possible future conversion to an elevator.,Yes,Yes,
,Property,AccessibilityFeatures,CeilingTrack,,AccessibilityFeatures,CeilingTrack,Track installed in ceiling for lift chair (Hoyer lift).,Yes,Yes,
,Property,AccessibilityFeatures,CentralLivingArea,,AccessibilityFeatures,CentralLivingArea,"Includes common area; hallway(s); full or three-quarters bathroom; kitchen; at least one bedroom; access to environmental controls; and access to floors above main floor, if necessary.",Yes,Yes,
,Property,AccessibilityFeatures,CommonArea,,AccessibilityFeatures,CommonArea,"The portion of the home near accessible entrance, used for entertaining guests.",Yes,Yes,
,Property,AccessibilityFeatures,CustomizedWheelchairAccessible,,AccessibilityFeatures,CustomizedWheelchairAccessible,Customized accessibility for specific size or style of wheelchair or scooter.,Yes,Yes,
,Property,AccessibilityFeatures,ElectronicEnvironmentalControls,,AccessibilityFeatures,ElectronicEnvironmentalControls,"Programmable electronic controls for thermostat, lights, security system and automatic doors.",Yes,Yes,
,Property,AccessibilityFeatures,EnhancedAccessible,,AccessibilityFeatures,EnhancedAccessible,"The central living area is fully accessible for lifelong living by all residents, no matter their ability. A person in a wheelchair or with other disability is able to perform all personal and housekeeping tasks. Persons without disabilities are also able to perform basic tasks with greater ease. To be considered Enhanced Accessible, the home also includes all Visitable features.",Yes,Yes,
,Property,AccessibilityFeatures,ExteriorWheelchairLift,,AccessibilityFeatures,ExteriorWheelchairLift,A mechanical wheelchair lift is installed outside the home to facilitate barrier-free approach.,Yes,Yes,
,Property,AccessibilityFeatures,GripAccessibleFeatures,,AccessibilityFeatures,GripAccessibleFeatures,"All doors, faucets and other mechanisms throughout the central living area are lever, hands-free or another style that can be controlled with a closed hand, clenched fist or weak hands. This is required to be considered Enhanced Accessible. Optional: wire pull (D-ring) handles or equivalent or easy touch latches on cabinets and drawers.",Yes,Yes,
,Property,AccessibilityFeatures,ReinforcedFloors,,AccessibilityFeatures,ReinforcedFloors,"Reinforced floors for bariatric needs, power wheelchairs, therapeutic tub or heavy medical equipment.",Yes,Yes,
,Property,AccessibilityFeatures,SafeEmergencyEgressFromHome,,AccessibilityFeatures,SafeEmergencyEgressFromHome,"A minimum of two, no-step, accessible egresses from central living area. Window locks are 19-54"" from the floor and can be opened with a closed fist. Emergency egress windows in sleeping areas require minimal effort to open. This is required to be considered Enhanced Accessible.",Yes,Yes,
,Property,AccessibilityFeatures,SmartTechnology,,AccessibilityFeatures,SmartTechnology,"Smart Home (computer-controlled) and/or smart products (e.g., voice-activated controls, voice reminder, remote monitoring of individuals with dementia).",Yes,Yes,
,Property,AccessibilityFeatures,StairLift,,AccessibilityFeatures,StairLift,A professionally installed motorized rail to climb an interior or exterior stairway.,Yes,Yes,
,Property,AccessibilityFeatures,StandbyGenerator,,AccessibilityFeatures,StandbyGenerator,"Backup generator for refrigeration of medications, life-sustaining medical equipment or essential room temperature control.",Yes,Yes,
,Property,AccessibilityFeatures,TherapeuticWhirlpool,,AccessibilityFeatures,TherapeuticWhirlpool,"Therapeutic whirlpool, properly installed.",Yes,Yes,
,Property,AccessibilityFeatures,UnitWheelchairAccessible,,AccessibilityFeatures,UnitWheelchairAccessible,The unit is wheelchair accessible.,Yes,Yes,
,Property,AccessibilityFeatures,Visitable,,AccessibilityFeatures,Visitable,A person in a wheelchair can easily enter the home and access the main common area. Home has a half-bathroom at minimum and a hall leading to that bathroom.,Yes,Yes,
,Property,AccessibilityFeatures,VisitorBathroom,,AccessibilityFeatures,VisitorBathroom,"The bathroom that is closest to the common area, minimum half bath. Door has minimum 32"" clear width opening and lever handles. Minimum 60"" turnaround or other approved turnaround configuration (30"" x 48"" clear space if door opens out.). Grab bar installed in toilet area with proper blocking. This is required to be considered Visitable.",Yes,Yes,
,Property,AccessibilityFeatures,WalkerAccessibleStairs,,AccessibilityFeatures,WalkerAccessibleStairs,"Treads are minimum 25"" deep, with maximum 4"" rise and minimum 36"" wide. May be a custom feature in addition to approach with ramp.",Yes,Yes,
,Property,Appliances,BarFridge,,Appliances,BarFridge,A refrigerator that is sized and/or built to be part of a bar.,Yes,Yes,
,Property,Appliances,BuiltInElectricOven,,Appliances,BuiltInElectricOven,A built-in electric oven.,Yes,Yes,
,Property,Appliances,BuiltInElectricRange,,Appliances,BuiltInElectricRange,A built-in electric range.,Yes,Yes,
,Property,Appliances,BuiltInFreezer,,Appliances,BuiltInFreezer,A built-in freezer.,Yes,Yes,
,Property,Appliances,BuiltInGasOven,,Appliances,BuiltInGasOven,A built-in gas oven,Yes,Yes,
,Property,Appliances,BuiltInGasRange,,Appliances,BuiltInGasRange,A built-in gas range.,Yes,Yes,
,Property,Appliances,BuiltInRange,,Appliances,BuiltInRange,A built-in range where the fuel type is not specified.,Yes,Yes,
,Property,Appliances,BuiltInRefrigerator,,Appliances,BuiltInRefrigerator,A built-in refrigerator,Yes,Yes,
,Property,Appliances,ConvectionOven,,Appliances,ConvectionOven,An oven that has fans to circulate air around food. Also known as a fan-assisted oven or simply a fan oven.,Yes,Yes,
,Property,Appliances,Cooktop,,Appliances,Cooktop,A kitchen stove or cooker; a kitchen appliance designed for the purpose of cooking food. Kitchen stoves rely on the application of direct heat for the cooking process.,Yes,Yes,
,Property,Appliances,Dishwasher,,Appliances,Dishwasher,A dishwasher is a mechanical device for cleaning dishware and cutlery.,Yes,Yes,
,Property,Appliances,Disposal,,Appliances,Disposal,"A garbage disposal unit (also known as a garbage disposal, waste disposal unit, garbage disposer or garburator (in Canada)) is a device, usually electrically powered, installed under a kitchen sink between the sink's drain and the trap. The disposal unit shreds food waste into pieces small enough, generally less than 2 mm (0.079""), to pass through plumbing.",Yes,Yes,
,Property,Appliances,DoubleOven,,Appliances,DoubleOven,"A built-in oven fixture that has either two ovens, or one oven and one microwave oven. It is usually built into the kitchen cabinet.",Yes,Yes,
,Property,Appliances,DownDraft,,Appliances,DownDraft,A vent that is part of the surface of a cooktop that has a fan which sucks cooking fumes/smoke down. This is an alternative to a hooded cooktop/range.,Yes,Yes,
,Property,Appliances,Dryer,,Appliances,Dryer,A cloths dryer.,Yes,Yes,
,Property,Appliances,ElectricCooktop,,Appliances,ElectricCooktop,"A cooktop or stove that produces heat by way of electricity rather than gas. An induction cooktop is electric, but not all electric cooktops are induction.",Yes,Yes,
,Property,Appliances,ElectricOven,,Appliances,ElectricOven,"An oven that is heated by electricity, typically by way of heating coils.",Yes,Yes,
,Property,Appliances,ElectricRange,,Appliances,ElectricRange,An oven and cooktop that generates heat by way of electricity.,Yes,Yes,
,Property,Appliances,ElectricWaterHeater,,Appliances,ElectricWaterHeater,A water heater that heats the water by way of electricity.,Yes,Yes,
,Property,Appliances,EnergyStarQualifiedAppliances,,Appliances,EnergyStarQualifiedAppliances,The property includes qualified ENERGY STAR appliances.,Yes,Yes,
,Property,Appliances,EnergyStarQualifiedDishwasher,,Appliances,EnergyStarQualifiedDishwasher,The property includes a qualified ENERGY STAR dishwasher.,Yes,Yes,
,Property,Appliances,EnergyStarQualifiedDryer,,Appliances,EnergyStarQualifiedDryer,The property includes a qualified ENERGY STAR clothes dryer.,Yes,Yes,
,Property,Appliances,EnergyStarQualifiedFreezer,,Appliances,EnergyStarQualifiedFreezer,The property includes a qualified ENERGY STAR freezer.,Yes,Yes,
,Property,Appliances,EnergyStarQualifiedRefrigerator,,Appliances,EnergyStarQualifiedRefrigerator,The property includes a qualified ENERGY STAR refrigerator.,Yes,Yes,
,Property,Appliances,EnergyStarQualifiedWasher,,Appliances,EnergyStarQualifiedWasher,The property includes a qualified ENERGY STAR clothes washer.,Yes,Yes,
,Property,Appliances,EnergyStarQualifiedWaterHeater,,Appliances,EnergyStarQualifiedWaterHeater,The property includes a qualified ENERGY STAR water heater.,Yes,Yes,
,Property,Appliances,ExhaustFan,,Appliances,ExhaustFan,The cooktop has an exhaust fan.,Yes,Yes,
,Property,Appliances,FreeStandingElectricOven,,Appliances,FreeStandingElectricOven,"The oven is freestanding, not built-in, and uses electricity to produce heat.",Yes,Yes,
,Property,Appliances,FreeStandingElectricRange,,Appliances,FreeStandingElectricRange,"The range is freestanding, not built-in, and uses electricity to produce heat for its oven and cooktop.",Yes,Yes,
,Property,Appliances,FreeStandingFreezer,,Appliances,FreeStandingFreezer,The freezer is freestanding and not built-in.,Yes,Yes,
,Property,Appliances,FreeStandingGasOven,,Appliances,FreeStandingGasOven,"The oven is freestanding, not built-in, and uses gas to produce heat.",Yes,Yes,
,Property,Appliances,FreeStandingGasRange,,Appliances,FreeStandingGasRange,"The range is freestanding, not built-in, and uses gas to produce heat for its oven and cooktop.",Yes,Yes,
,Property,Appliances,FreeStandingRange,,Appliances,FreeStandingRange,"The range is freestanding, not built-in.",Yes,Yes,
,Property,Appliances,FreeStandingRefrigerator,,Appliances,FreeStandingRefrigerator,"The refrigerator is freestanding, not built-in.",Yes,Yes,
,Property,Appliances,Freezer,,Appliances,Freezer,The property includes a freezer.,Yes,Yes,
,Property,Appliances,GasCooktop,,Appliances,GasCooktop,"A cooktop or stove that produces heat by way of gas rather than electricity. An induction cooktop is electric, but not all electric cooktops are induction.",Yes,Yes,
,Property,Appliances,GasOven,,Appliances,GasOven,An oven that is heated by gas.,Yes,Yes,
,Property,Appliances,GasRange,,Appliances,GasRange,An oven and cooktop that generates heat by way of gas.,Yes,Yes,
,Property,Appliances,GasWaterHeater,,Appliances,GasWaterHeater,A water heater that heats the water with gas.,Yes,Yes,
,Property,Appliances,Humidifier,,Appliances,Humidifier,The property includes a humidity-control device or system.,Yes,Yes,
,Property,Appliances,IceMaker,,Appliances,IceMaker,The property includes an ice maker.,Yes,Yes,
,Property,Appliances,IndoorGrill,,Appliances,IndoorGrill,The property has an indoor grill.,Yes,Yes,
,Property,Appliances,InductionCooktop,,Appliances,InductionCooktop,The electric cooktop is based on magnetic induction rather than heating coils.,Yes,Yes,
